=> using pre-trained model 'resnet34'
Epoch: [0][229/259]	Time 1.939 (1.920)	Data 0.001 (0.007)	Loss 0.1310 (0.1574)	
Epoch: [0][230/259]	Time 1.947 (1.920)	Data 0.001 (0.007)	Loss 0.1306 (0.1573)	
Epoch: [0][231/259]	Time 1.958 (1.920)	Data 0.001 (0.007)	Loss 0.1303 (0.1572)	
Epoch: [0][232/259]	Time 1.881 (1.920)	Data 0.001 (0.007)	Loss 0.1237 (0.1570)	
Epoch: [0][233/259]	Time 1.918 (1.920)	Data 0.000 (0.007)	Loss 0.1215 (0.1569)	
Epoch: [0][234/259]	Time 1.841 (1.920)	Data 0.001 (0.007)	Loss 0.1313 (0.1568)	
Epoch: [0][235/259]	Time 1.840 (1.919)	Data 0.001 (0.007)	Loss 0.1275 (0.1566)	
Epoch: [0][236/259]	Time 1.902 (1.919)	Data 0.001 (0.007)	Loss 0.1322 (0.1565)	
Epoch: [0][237/259]	Time 1.916 (1.919)	Data 0.000 (0.007)	Loss 0.1327 (0.1564)	
Epoch: [0][238/259]	Time 1.897 (1.919)	Data 0.001 (0.007)	Loss 0.1313 (0.1563)	
Epoch: [0][239/259]	Time 1.893 (1.919)	Data 0.000 (0.007)	Loss 0.1409 (0.1563)	
Epoch: [0][240/259]	Time 1.922 (1.919)	Data 0.001 (0.006)	Loss 0.1149 (0.1561)	
Epoch: [0][241/259]	Time 1.905 (1.919)	Data 0.001 (0.006)	Loss 0.1237 (0.1560)	
Epoch: [0][242/259]	Time 1.830 (1.919)	Data 0.001 (0.006)	Loss 0.1361 (0.1559)	
Epoch: [0][243/259]	Time 1.832 (1.918)	Data 0.001 (0.006)	Loss 0.1441 (0.1558)	
Epoch: [0][244/259]	Time 1.906 (1.918)	Data 0.001 (0.006)	Loss 0.1216 (0.1557)	
Epoch: [0][245/259]	Time 1.899 (1.918)	Data 0.001 (0.006)	Loss 0.1227 (0.1556)	
Epoch: [0][246/259]	Time 1.849 (1.918)	Data 0.001 (0.006)	Loss 0.1373 (0.1555)	
